Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1696
design__instance__area,19669.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00036900618579238653
power__switching__total,0.000055750304454704747
power__leakage__total,5.178467290534172E-7
power__total,0.00042527433834038675
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.29152422967450814
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2843576010699886
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11977169595120525
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.742943283478027
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.119772
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2997632782399945
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2825521008251289
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6347560434714499
timing__setup__ws__corner:nom_slow_1p08V_125C,13.328564407203615
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.634756
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2949156280437459
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2839402404676526
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3137465376306219
timing__setup__ws__corner:nom_typ_1p20V_25C,14.234620995938915
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.313747
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.29152422967450814
clock__skew__worst_setup,0.2825521008251289
timing__hold__ws,0.11977169595120525
timing__setup__ws,13.328564407203615
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119772
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 152.6 171.32
design__core__bbox,5.76 15.12 146.4 154.98
design__io,13
design__die__area,26143.4
design__core__area,19669.9
design__instance__count__stdcell,818
design__instance__area__stdcell,13025.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.662208
design__instance__utilization__stdcell,0.662208
design__rows,37
design__rows:CoreSite,37
design__sites,10841
design__sites:CoreSite,10841
design__instance__count__class:inverter,40
design__instance__area__class:inverter,217.728
design__instance__count__class:sequential_cell,111
design__instance__area__class:sequential_cell,5437.76
design__instance__count__class:multi_input_combinational_cell,467
design__instance__area__class:multi_input_combinational_cell,4296.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1214.52
design__instance__displacement__mean,1.484
design__instance__displacement__max,10.56
route__wirelength__estimated,12368.5
design__violations,0
design__instance__count__class:timing_repair_buffer,182
design__instance__area__class:timing_repair_buffer,2645.4
design__instance__count__class:clock_buffer,17
design__instance__area__class:clock_buffer,422.755
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.4432
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,146
global_route__vias,4244
global_route__wirelength,22744
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,825
route__net__special,2
route__drc_errors__iter:0,99
route__wirelength__iter:0,13082
route__drc_errors__iter:1,47
route__wirelength__iter:1,13039
route__drc_errors__iter:2,37
route__wirelength__iter:2,12992
route__drc_errors__iter:3,1
route__wirelength__iter:3,12984
route__drc_errors__iter:4,1
route__wirelength__iter:4,12984
route__drc_errors__iter:5,0
route__wirelength__iter:5,12984
route__drc_errors,0
route__wirelength,12984
route__vias,4039
route__vias__singlecut,4039
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,360.185
design__instance__count__class:fill_cell,878
design__instance__area__class:fill_cell,6644.33
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,1
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,1
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,1
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
